Station,ID,Timestamp
1,start,"58901
"
1,13ecb9ab,"63460
"
1,ID nicht erkannt,"63575
"
1,ID nicht erkannt,"66080
"
1,13ecb9ab,"66107
"
1,13ecb9ab,"68351
"
1,13ecb9ab,"70637
"
1,stop,"72754
"
1,start,"58901
"
1,13ecb9ab,"63460
"
1,ID nicht erkannt,"63575
"
1,ID nicht erkannt,"66080
"
1,13ecb9ab,"66107
"
1,13ecb9ab,"68351
"
1,13ecb9ab,"70637
"
1,stop,"72754
"
2,start,"57872
"
2,13ecb9ab,"64277
"
2,ID nicht erkannt,"64679
"
2,13ecb9ab,"66606
"
2,ID nicht erkannt,"66980
"
2,13ecb9ab,"69107
"
2,stop,"72247
"
2,start,"57872
"
2,13ecb9ab,"64277
"
2,ID nicht erkannt,"64679
"
2,13ecb9ab,"66606
"
2,ID nicht erkannt,"66980
"
2,13ecb9ab,"69107
"
2,stop,"72247
"
3,start,"57287
"
3,ID nicht erkannt,"62907
"
3,13ecb9ab,"62934
"
3,Lichtschranke,"65241
"
3,13ecb9ab,"65292
"
3,ID nicht erkannt,"65321
"
3,13ecb9ab,"67939
"
3,ID nicht erkannt,"68193
"
3,stop,"72167
"
3,start,"57287
"
3,ID nicht erkannt,"62907
"
3,13ecb9ab,"62934
"
3,Lichtschranke,"65241
"
3,13ecb9ab,"65292
"
3,ID nicht erkannt,"65321
"
3,13ecb9ab,"67939
"
3,ID nicht erkannt,"68193
"
3,stop,"72167
"
