Station,ID,Timestamp
2,start,"8834
"
3,start,"8297
"
1,start,"9384
"
1,13ecb9ab,"11056
"
1,ID nicht erkannt,"11458
"
2,13ecb9ab,"11240
"
3,13ecb9ab,"11513
"
3,Lichtschranke,"11714
"
1,13ecb9ab,"13765
"
3,Lichtschranke,"12715
"
2,13ecb9ab,"13946
"
3,Lichtschranke,"13728
"
3,13ecb9ab,"14147
"
3,ID nicht erkannt,"14371
"
3,Lichtschranke,"14743
"
1,ID nicht erkannt,"16358
"
1,13ecb9ab,"16385
"
2,13ecb9ab,"16388
"
2,ID nicht erkannt,"16503
"
3,Lichtschranke,"15764
"
3,13ecb9ab,"16397
"
3,Lichtschranke,"16766
"
3,Lichtschranke,"17779
"
3,Lichtschranke,"18791
"
3,Lichtschranke,"19804
"
3,Lichtschranke,"20817
"
3,Lichtschranke,"21829
"
3,Lichtschranke,"22842
"
3,Lichtschranke,"23855
"
3,Lichtschranke,"24872
"
3,Lichtschranke,"25885
"
