Station,ID,Timestamp
3,start,"11614
"
2,start,"12230
"
1,start,"12739
"
1,73e048ab,"17448
"
2,73e048ab,"21545
"
3,Lichtschranke,"26677
"
1,73e048ab,"39551
"
3,start,"53774795
"
2,start,"53774797
"
1,start,"53774798
"
1,73e048ab,"53781759
"
1,ID nicht erkannt,"53782133
"
2,73e048ab,"53782644
"
3,73e048ab,"53783654
"
3,Lichtschranke,"53783826
"
1,c344e1aa,"53787855
"
2,c344e1aa,"53788479
"
3,Lichtschranke,"53788933
"
3,c344e1aa,"53789036
"
