Station,ID,Timestamp
3,Lichtschranke,"143335
"
3,Lichtschranke,"144343
"
3,Lichtschranke,"145351
"
3,Lichtschranke,"146359
"
1,0,"147623
"
1,start,"32451
"
2,start,"31717
"
1,start,"50447
"
2,start,"49714
"
2,start,"62821
"
1,start,"18791
"
2,start,"18418
"
1,start,"14296
"
2,start,"13783
"
1,start,"17117
"
2,start,"16504
"
1,start,"12333
"
2,start,"11798
"
2,ID nicht erkannt,"11803
"
3,start,"11289
"
3,Lichtschranke,"11289
"
3,Lichtschranke,"12299
"
2,ID nicht erkannt,"12857
"
3,Lichtschranke,"13312
"
2,ID nicht erkannt,"13878
"
3,Lichtschranke,"14316
"
2,ID nicht erkannt,"14961
"
1,ID nicht erkannt,"15900
"
3,Lichtschranke,"15318
"
2,ID nicht erkannt,"16051
"
1,ID nicht erkannt,"17051
"
3,Lichtschranke,"16319
"
2,ID nicht erkannt,"17056
"
3,Lichtschranke,"17319
"
1,ID nicht erkannt,"18629
"
2,ID nicht erkannt,"18092
"
3,Lichtschranke,"18332
"
2,ID nicht erkannt,"19118
"
3,Lichtschranke,"19332
"
1,ID nicht erkannt,"20664
"
2,ID nicht erkannt,"20126
"
3,Lichtschranke,"20332
"
2,ID nicht erkannt,"21153
"
1,ID nicht erkannt,"22327
"
3,Lichtschranke,"21332
"
2,ID nicht erkannt,"22159
"
3,Lichtschranke,"22355
"
2,ID nicht erkannt,"23224
"
1,ID nicht erkannt,"23837
"
3,Lichtschranke,"23355
"
2,ID nicht erkannt,"24258
"
3,Lichtschranke,"24355
"
2,ID nicht erkannt,"25348
"
1,ID nicht erkannt,"26032
"
3,Lichtschranke,"25373
"
2,ID nicht erkannt,"26366
"
3,Lichtschranke,"26384
"
2,ID nicht erkannt,"27391
"
1,ID nicht erkannt,"28026
"
3,Lichtschranke,"27384
"
2,ID nicht erkannt,"28466
"
1,ID nicht erkannt,"29413
"
3,Lichtschranke,"28384
"
2,ID nicht erkannt,"29488
"
3,Lichtschranke,"29384
"
2,ID nicht erkannt,"30620
"
1,ID nicht erkannt,"31226
"
3,Lichtschranke,"30384
"
2,ID nicht erkannt,"31622
"
3,Lichtschranke,"31384
"
2,ID nicht erkannt,"32662
"
1,ID nicht erkannt,"33421
"
3,Lichtschranke,"32407
"
2,ID nicht erkannt,"33703
"
3,Lichtschranke,"33407
"
1,ID nicht erkannt,"34736
"
2,ID nicht erkannt,"34788
"
3,Lichtschranke,"34423
"
2,ID nicht erkannt,"35807
"
3,Lichtschranke,"35428
"
3,Lichtschranke,"36430
"
3,Lichtschranke,"37447
"
3,Lichtschranke,"38472
"
3,Lichtschranke,"39480
"
3,Lichtschranke,"40488
"
3,Lichtschranke,"41496
"
3,Lichtschranke,"42504
"
3,Lichtschranke,"43512
"
3,Lichtschranke,"44520
"
3,Lichtschranke,"45528
"
1,ID nicht erkannt,"46657
"
3,Lichtschranke,"46536
"
1,ID nicht erkannt,"47708
"
1,44328b2e96f80,"47760
"
3,Lichtschranke,"47544
"
1,ID nicht erkannt,"49053
"
3,Lichtschranke,"48552
"
3,Lichtschranke,"49565
"
3,Lichtschranke,"50573
"
3,Lichtschranke,"51581
"
3,Lichtschranke,"52589
"
3,Lichtschranke,"53597
"
3,Lichtschranke,"54605
"
3,Lichtschranke,"55613
"
3,Lichtschranke,"56621
"
3,Lichtschranke,"57629
"
3,Lichtschranke,"58637
"
3,Lichtschranke,"59645
"
3,Lichtschranke,"60653
"
3,Lichtschranke,"61661
"
3,Lichtschranke,"62669
"
3,Lichtschranke,"63677
"
3,Lichtschranke,"64685
"
3,Lichtschranke,"65693
"
3,Lichtschranke,"66701
"
3,Lichtschranke,"67709
"
3,Lichtschranke,"68721
"
3,Lichtschranke,"69729
"
3,Lichtschranke,"70737
"
3,Lichtschranke,"71745
"
3,Lichtschranke,"72753
"
3,Lichtschranke,"73761
"
3,Lichtschranke,"74769
"
3,Lichtschranke,"75777
"
3,Lichtschranke,"76785
"
3,Lichtschranke,"77793
"
3,Lichtschranke,"78801
"
3,Lichtschranke,"79809
"
3,Lichtschranke,"80817
"
3,Lichtschranke,"81825
"
3,Lichtschranke,"82833
"
3,Lichtschranke,"83841
"
3,Lichtschranke,"84849
"
3,Lichtschranke,"85857
"
3,Lichtschranke,"86865
"
3,Lichtschranke,"87878
"
3,Lichtschranke,"88886
"
3,Lichtschranke,"89894
"
3,Lichtschranke,"90902
"
3,Lichtschranke,"91910
"
3,Lichtschranke,"92918
"
3,Lichtschranke,"93926
"
3,Lichtschranke,"94934
"
3,Lichtschranke,"95942
"
3,Lichtschranke,"96950
"
3,Lichtschranke,"97958
"
3,Lichtschranke,"98966
"
3,Lichtschranke,"99974
"
3,Lichtschranke,"100982
"
3,Lichtschranke,"101990
"
3,Lichtschranke,"102998
"
3,Lichtschranke,"104006
"
1,start,"26142
"
2,start,"25666
"
2,ID nicht erkannt,"25715
"
3,start,"25022
"
3,Lichtschranke,"25023
"
3,Lichtschranke,"26044
"
2,ID nicht erkannt,"27198
"
3,Lichtschranke,"27044
"
2,ID nicht erkannt,"28230
"
3,Lichtschranke,"28054
"
2,ID nicht erkannt,"29538
"
3,Lichtschranke,"29075
"
2,ID nicht erkannt,"30642
"
3,Lichtschranke,"30089
"
2,ID nicht erkannt,"31718
"
3,Lichtschranke,"31089
"
3,Lichtschranke,"32110
"
2,ID nicht erkannt,"32869
"
3,Lichtschranke,"33110
"
2,ID nicht erkannt,"34040
"
3,Lichtschranke,"34110
"
2,ID nicht erkannt,"35095
"
3,Lichtschranke,"35133
"
2,ID nicht erkannt,"36276
"
3,Lichtschranke,"36133
"
3,Lichtschranke,"37141
"
2,ID nicht erkannt,"37967
"
3,Lichtschranke,"38144
"
2,ID nicht erkannt,"39046
"
3,Lichtschranke,"39168
"
2,ID nicht erkannt,"40053
"
3,Lichtschranke,"40170
"
2,ID nicht erkannt,"41342
"
3,Lichtschranke,"41177
"
3,Lichtschranke,"42177
"
2,ID nicht erkannt,"42932
"
3,Lichtschranke,"43196
"
2,ID nicht erkannt,"44414
"
3,Lichtschranke,"44212
"
2,ID nicht erkannt,"45475
"
3,Lichtschranke,"45235
"
2,ID nicht erkannt,"46871
"
3,Lichtschranke,"46235
"
3,Lichtschranke,"47235
"
2,ID nicht erkannt,"48067
"
3,Lichtschranke,"48256
"
2,ID nicht erkannt,"49137
"
3,Lichtschranke,"49266
"
2,ID nicht erkannt,"50208
"
3,Lichtschranke,"50266
"
2,ID nicht erkannt,"51312
"
3,Lichtschranke,"51284
"
2,ID nicht erkannt,"52447
"
3,Lichtschranke,"52297
"
2,ID nicht erkannt,"53657
"
3,Lichtschranke,"53297
"
2,ID nicht erkannt,"54731
"
3,Lichtschranke,"54302
"
2,ID nicht erkannt,"55947
"
3,Lichtschranke,"55302
"
3,Lichtschranke,"56304
"
2,ID nicht erkannt,"57103
"
3,Lichtschranke,"57324
"
2,ID nicht erkannt,"58331
"
3,Lichtschranke,"58340
"
3,Lichtschranke,"59358
"
3,Lichtschranke,"60363
"
2,ID nicht erkannt,"61290
"
3,Lichtschranke,"61377
"
3,Lichtschranke,"62377
"
2,ID nicht erkannt,"63213
"
3,Lichtschranke,"63377
"
2,ID nicht erkannt,"64268
"
3,Lichtschranke,"64389
"
2,ID nicht erkannt,"65545
"
3,Lichtschranke,"65389
"
2,ID nicht erkannt,"66674
"
3,Lichtschranke,"66409
"
2,ID nicht erkannt,"67746
"
3,Lichtschranke,"67426
"
2,ID nicht erkannt,"68862
"
3,Lichtschranke,"68426
"
2,ID nicht erkannt,"70028
"
3,Lichtschranke,"69426
"
3,Lichtschranke,"70426
"
2,ID nicht erkannt,"71482
"
3,Lichtschranke,"71426
"
2,ID nicht erkannt,"72677
"
3,Lichtschranke,"72447
"
2,ID nicht erkannt,"73969
"
3,Lichtschranke,"73796
"
3,Lichtschranke,"74819
"
2,ID nicht erkannt,"75881
"
3,Lichtschranke,"75903
"
2,ID nicht erkannt,"77015
"
3,Lichtschranke,"77628
"
2,ID nicht erkannt,"78588
"
3,Lichtschranke,"78631
"
2,ID nicht erkannt,"80024
"
3,Lichtschranke,"79645
"
2,ID nicht erkannt,"81210
"
3,Lichtschranke,"80646
"
3,Lichtschranke,"81646
"
2,ID nicht erkannt,"82471
"
3,Lichtschranke,"82646
"
2,ID nicht erkannt,"83741
"
3,Lichtschranke,"83646
"
2,ID nicht erkannt,"85002
"
3,Lichtschranke,"84652
"
3,Lichtschranke,"85652
"
2,ID nicht erkannt,"86621
"
3,Lichtschranke,"86652
"
2,ID nicht erkannt,"87630
"
3,Lichtschranke,"87652
"
2,ID nicht erkannt,"89027
"
3,Lichtschranke,"88652
"
3,Lichtschranke,"89669
"
2,ID nicht erkannt,"90544
"
3,Lichtschranke,"90669
"
2,ID nicht erkannt,"91556
"
3,Lichtschranke,"91680
"
2,ID nicht erkannt,"92857
"
3,Lichtschranke,"92680
"
2,ID nicht erkannt,"93945
"
3,Lichtschranke,"93680
"
3,Lichtschranke,"94683
"
2,ID nicht erkannt,"95808
"
3,Lichtschranke,"95707
"
3,Lichtschranke,"96707
"
2,ID nicht erkannt,"97416
"
3,Lichtschranke,"97707
"
2,ID nicht erkannt,"98529
"
3,Lichtschranke,"98707
"
3,Lichtschranke,"99707
"
2,ID nicht erkannt,"100847
"
3,Lichtschranke,"100707
"
2,ID nicht erkannt,"101857
"
3,Lichtschranke,"101727
"
3,Lichtschranke,"102776
"
3,Lichtschranke,"103784
"
3,Lichtschranke,"104792
"
3,Lichtschranke,"105800
"
3,Lichtschranke,"106808
"
3,Lichtschranke,"107816
"
3,Lichtschranke,"108824
"
3,Lichtschranke,"109832
"
3,Lichtschranke,"110840
"
3,Lichtschranke,"111848
"
2,ID nicht erkannt,"128070
"
1,ID nicht erkannt,"134787
"
2,ID nicht erkannt,"143014
"
2,83eb710e,"143053
"
1,ID nicht erkannt,"145295
"
1,83eb710e,"145359
"
