ID;RFID;Bewerb;Teamname;Bildungseinrichtung;Runden;Zeit;Meter;PictureUrl
14;D7072068;offene;CanBot;HTBLuVA Salzburg;0;00:00,0;0;logo\canbot.JPG
15;N3113139;offene;SchranzPosch;FH Joanneum;0;00:00,0;0;logo\SchranzPosch.PNG
